geometry
"POLYGON ((553268.864526948 6975159.80875196, 553271.497702359 6975155.24795837, 553276.76405318 6975155.24795837, 553279.397228591 6975159.80875196, 553276.76405318 6975164.36954556, 553271.497702359 6975164.36954556, 553268.864526948 6975159.80875196))"
"POLYGON ((563337.257823757 6926245.20711067, 563340.691064451 6926239.26056335, 563347.557545839 6926239.26056335, 563350.990786533 6926245.20711067, 563347.557545839 6926251.15365799, 563340.691064451 6926251.15365799, 563337.257823757 6926245.20711067))"
"POLYGON ((563337.257823757 6926245.20711067, 563340.691064451 6926239.26056335, 563347.557545839 6926239.26056335, 563350.990786533 6926245.20711067, 563347.557545839 6926251.15365799, 563340.691064451 6926251.15365799, 563337.257823757 6926245.20711067))"
"POLYGON ((563337.257823757 6926245.20711067, 563340.691064451 6926239.26056335, 563347.557545839 6926239.26056335, 563350.990786533 6926245.20711067, 563347.557545839 6926251.15365799, 563340.691064451 6926251.15365799, 563337.257823757 6926245.20711067))"
"POLYGON ((563337.257823757 6926245.20711067, 563340.691064451 6926239.26056335, 563347.557545839 6926239.26056335, 563350.990786533 6926245.20711067, 563347.557545839 6926251.15365799, 563340.691064451 6926251.15365799, 563337.257823757 6926245.20711067))"
"POLYGON ((538221.903784115 6954270.30857034, 538225.452877401 6954264.16136044, 538232.551063973 6954264.16136044, 538236.100157258 6954270.30857034, 538232.551063973 6954276.45578023, 538225.452877401 6954276.45578023, 538221.903784115 6954270.30857034))"
"POLYGON ((538221.903784115 6954270.30857034, 538225.452877401 6954264.16136044, 538232.551063973 6954264.16136044, 538236.100157258 6954270.30857034, 538232.551063973 6954276.45578023, 538225.452877401 6954276.45578023, 538221.903784115 6954270.30857034))"
"POLYGON ((563831.809109398 6924001.74198107, 563833.403576291 6923998.9802834, 563836.592510077 6923998.9802834, 563838.18697697 6924001.74198107, 563836.592510077 6924004.50367874, 563833.403576291 6924004.50367874, 563831.809109398 6924001.74198107))"
"POLYGON ((563831.809109398 6924001.74198107, 563833.403576291 6923998.9802834, 563836.592510077 6923998.9802834, 563838.18697697 6924001.74198107, 563836.592510077 6924004.50367874, 563833.403576291 6924004.50367874, 563831.809109398 6924001.74198107))"
"POLYGON ((563842.342939673 6924032.98911312, 563843.568616124 6924030.86617923, 563846.019969025 6924030.86617923, 563847.245645475 6924032.98911312, 563846.019969025 6924035.112047, 563843.568616124 6924035.112047, 563842.342939673 6924032.98911312))"
"POLYGON ((563842.342939673 6924032.98911312, 563843.568616124 6924030.86617923, 563846.019969025 6924030.86617923, 563847.245645475 6924032.98911312, 563846.019969025 6924035.112047, 563843.568616124 6924035.112047, 563842.342939673 6924032.98911312))"
"POLYGON ((535199.417100337 6947018.17168632, 535204.090523081 6947010.07708068, 535213.437368569 6947010.07708068, 535218.110791312 6947018.17168632, 535213.437368569 6947026.26629195, 535204.090523081 6947026.26629195, 535199.417100337 6947018.17168632))"
"POLYGON ((563828.35682287 6924022.96446341, 563829.534414713 6924020.92481451, 563831.889598399 6924020.92481451, 563833.067190242 6924022.96446341, 563831.889598399 6924025.00411231, 563829.534414713 6924025.00411231, 563828.35682287 6924022.96446341))"
"POLYGON ((563831.083471307 6924022.91612333, 563832.26106315 6924020.87647443, 563834.616246836 6924020.87647443, 563835.793838679 6924022.91612333, 563834.616246836 6924024.95577224, 563832.26106315 6924024.95577224, 563831.083471307 6924022.91612333))"
"POLYGON ((563840.578007817 6924024.41156595, 563842.098272349 6924021.77839054, 563845.138801413 6924021.77839054, 563846.659065945 6924024.41156595, 563845.138801413 6924027.04474136, 563842.098272349 6924027.04474136, 563840.578007817 6924024.41156595))"
"POLYGON ((580308.848846782 6980538.5641225, 580311.129243581 6980534.61435938, 580315.690037177 6980534.61435938, 580317.970433975 6980538.5641225, 580315.690037177 6980542.51388562, 580311.129243581 6980542.51388562, 580308.848846782 6980538.5641225))"
"POLYGON ((563842.313139501 6924029.9322728, 563843.490731344 6924027.8926239, 563845.84591503 6924027.8926239, 563847.023506873 6924029.9322728, 563845.84591503 6924031.97192171, 563843.490731344 6924031.97192171, 563842.313139501 6924029.9322728))"
"POLYGON ((563926.939707754 6923834.91516111, 563928.497515335 6923832.21695924, 563931.613130498 6923832.21695924, 563933.170938079 6923834.91516111, 563931.613130498 6923837.61336299, 563928.497515335 6923837.61336299, 563926.939707754 6923834.91516111))"
"POLYGON ((537190.906495956 6950922.65035957, 537193.870037105 6950917.51735573, 537199.797119403 6950917.51735573, 537202.760660552 6950922.65035957, 537199.797119403 6950927.78336341, 537193.870037105 6950927.78336341, 537190.906495956 6950922.65035957))"
"POLYGON ((537190.906495956 6950922.65035957, 537193.870037105 6950917.51735573, 537199.797119403 6950917.51735573, 537202.760660552 6950922.65035957, 537199.797119403 6950927.78336341, 537193.870037105 6950927.78336341, 537190.906495956 6950922.65035957))"
"POLYGON ((537190.906495956 6950922.65035957, 537193.870037105 6950917.51735573, 537199.797119403 6950917.51735573, 537202.760660552 6950922.65035957, 537199.797119403 6950927.78336341, 537193.870037105 6950927.78336341, 537190.906495956 6950922.65035957))"
"POLYGON ((539220.854601106 6951342.14407815, 539221.929590466 6951340.28214196, 539224.079569186 6951340.28214196, 539225.154558546 6951342.14407815, 539224.079569186 6951344.00601434, 539221.929590466 6951344.00601434, 539220.854601106 6951342.14407815))"
"POLYGON ((539220.854601106 6951342.14407815, 539221.929590466 6951340.28214196, 539224.079569186 6951340.28214196, 539225.154558546 6951342.14407815, 539224.079569186 6951344.00601434, 539221.929590466 6951344.00601434, 539220.854601106 6951342.14407815))"
"POLYGON ((563944.691595519 6923743.2981886, 563946.051361455 6923740.94300492, 563948.770893325 6923740.94300492, 563950.13065926 6923743.2981886, 563948.770893325 6923745.65337229, 563946.051361455 6923745.65337229, 563944.691595519 6923743.2981886))"
"POLYGON ((563914.90539825 6923033.36814705, 563917.028332136 6923029.6911177, 563921.274199907 6923029.6911177, 563923.397133793 6923033.36814705, 563921.274199907 6923037.0451764, 563917.028332136 6923037.0451764, 563914.90539825 6923033.36814705))"
"POLYGON ((563923.985381465 6923026.42362451, 563926.053164785 6923022.84211874, 563930.188731425 6923022.84211874, 563932.256514745 6923026.42362451, 563930.188731425 6923030.00513028, 563926.053164785 6923030.00513028, 563923.985381465 6923026.42362451))"
